price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,servant room,pooja room,furnishing_type,luxury
0.9,2.0,2.0,2,high floor,relatively new,sohna road,flat,951.0,no,no,furnished,luxrious
0.4,2.0,2.0,2,low floor,new property,sector 95,flat,514.0,no,no,semifurnished,normal
1.35,3.0,3.0,3+,mid floor,new property,sector 77,flat,1199.0,no,no,semifurnished,semi_luxrious
1.85,4.0,4.0,0,low floor,relatively new,sector 67,flat,2300.0,no,no,unfurnished,low
0.25,1.0,1.0,1,low floor,new property,sector 95,flat,304.0,no,no,unfurnished,low
0.88,2.0,2.0,3,low floor,new property,sector 89,flat,1105.0,no,no,unfurnished,normal
1.15,2.0,2.0,2,low floor,new property,sector 99,flat,1092.0,no,no,semifurnished,semi_luxrious
1.6,3.0,3.0,3,low floor,moderately old,iffco chowk,flat,1050.4,no,no,unfurnished,normal
0.85,2.0,2.0,2,low floor,new property,sector 99,flat,1001.6,no,no,unfurnished,normal
0.75,2.0,2.0,2,low floor,relatively new,sector 82,flat,650.0,no,no,unfurnished,low
3.35,4.0,4.0,3+,low floor,new property,sector 2,flat,4500.0,no,no,unfurnished,semi_luxrious
1.5,3.0,3.0,3+,high floor,new property,sector 88,flat,1480.0,no,no,unfurnished,normal
1.65,4.0,4.0,3+,high floor,moderately old,sector 91,flat,1891.2,yes,no,unfurnished,semi_luxrious
2.0,4.0,4.0,3+,high floor,moderately old,sector 91,flat,2181.6,yes,yes,unfurnished,semi_luxrious
1.75,4.0,4.0,3,mid floor,new property,sector 1,flat,2800.0,yes,no,unfurnished,low
0.9,2.0,2.0,2,low floor,new property,sector 68,flat,1180.0,no,no,unfurnished,normal
1.25,3.0,3.0,3,high floor,under construction,sector 70,flat,1492.0,no,no,unfurnished,normal
1.0,3.0,3.0,3+,mid floor,relatively new,sector 37,flat,1537.0,no,no,semifurnished,normal
2.15,3.0,5.0,3,low floor,new property,sector 85,flat,1926.4,no,no,unfurnished,normal
1.0,1.0,1.0,1,high floor,relatively new,sector 67,flat,826.037,no,no,unfurnished,normal
1.65,2.0,2.0,3,high floor,new property,sector 70,flat,1009.6,no,no,unfurnished,semi_luxrious
