society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
signature global solera,0.5,7692.0,2.0,2.0,1,not avilable,11.0,,Relatively New,sector 107,650.026,flat,546.0,,,0,0,0,0,0,2,55,325.0
supertech araville,0.9,5883.0,2.0,2.0,3,study room,5.0,,Relatively New,sector 79,1529.832,flat,1530.0,,1400.0,1,0,0,0,0,2,53,765.0
greenopolis,1.3,6806.0,3.0,3.0,3+,servant room,1.0,South-West,New Property,sector 89,1910.079,flat,,,1910.0,0,1,0,0,0,2,35,637.0
central park flower valley aqua front towers,1.7,9502.0,3.0,3.0,3,not avilable,12.0,,Under Construction,sector 33,1789.097,flat,1789.0,,,0,0,0,0,0,2,24,596.0
sare homes,1.25,6200.0,4.0,3.0,0,not avilable,16.0,,Undefined,sector 92,2016.129,flat,,,,0,0,0,0,0,2,49,504.0
vatika sovereign next sector-82 a gurgaon,2.91,6700.0,4.0,4.0,3,"study room,servant room,store room",6.0,East,Under Construction,sector 82a,4343.284,flat,4350.0,,3480.0,1,1,1,0,0,0,79,1086.0
bhagwati sadan,1.15,5750.0,3.0,4.0,2,"study room,servant room,others",2.0,,Old Property,sector 12,2000.0,flat,2500.0,,1750.0,1,1,0,0,1,0,28,667.0
smart world gems,1.2,12526.0,3.0,3.0,3,"pooja room,store room",3.0,East,Undefined,sector 89,958.007,flat,,,958.0,0,0,1,1,0,2,131,319.0
micasa sec 68,1.5,12244.0,2.0,2.0,3,not avilable,11.0,,New Property,sohna road,1225.09,flat,,,1225.0,0,0,0,0,0,2,44,613.0
eldeco accolade,1.3,7424.0,3.0,3.0,3+,not avilable,10.0,East,Relatively New,sohna road,1751.078,flat,1751.0,,1290.0,0,0,0,0,0,2,49,584.0
hero homes,1.75,10361.0,3.0,3.0,3,not avilable,2.0,,Undefined,sector 104,1689.026,flat,1689.0,,,0,0,0,0,0,2,30,563.0
shyam sadan,0.55,6470.0,2.0,2.0,1,study room,4.0,West,Relatively New,sector 3 phase 2,850.077,flat,,,700.0,1,0,0,0,0,0,69,425.0
m3m heights,2.5,13600.0,3.0,3.0,3,not avilable,19.0,,Undefined,sector 65,1838.235,flat,1828.0,,,0,0,0,0,0,2,48,613.0
hanumanta apartment,0.43,5308.0,2.0,2.0,1,not avilable,1.0,,Moderately Old,rajiv colony,810.098,flat,810.0,,,0,0,0,0,0,2,7,405.0
supertech hilltown,0.8,5556.0,3.0,2.0,3,not avilable,8.0,,Undefined,sector 2,1439.885,flat,,,1080.0,0,0,0,0,0,2,0,480.0
ashiyara 2,0.45,4500.0,3.0,3.0,2,not avilable,18.0,,Undefined,garauli kalan,1000.0,flat,1000.0,,,0,0,0,0,0,2,0,333.0
raheja vedaanta,0.7,4666.0,2.0,2.0,1,not avilable,10.0,West,Moderately Old,sector 108,1500.214,flat,,,1150.0,0,0,0,0,0,2,0,750.0
bptp terra,1.95,14444.0,4.0,3.0,3,not avilable,7.0,,Undefined,sector 37d,1350.042,flat,2191.0,,1350.0,0,0,0,0,0,2,53,338.0
green court,0.45,7188.0,2.0,2.0,1,not avilable,2.0,,New Property,sector 90,626.043,flat,,,626.0,0,0,0,0,0,0,42,313.0
m3m golf hills phase 1,1.7,10828.0,3.0,2.0,3,not avilable,10.0,,Undefined,sector 79,1570.004,flat,,,1099.0,0,0,0,0,0,2,0,523.0
abhinav group housing society,1.1,6111.0,3.0,2.0,3,not avilable,5.0,,Old Property,sector 9,1800.033,flat,,,1800.0,0,0,0,0,0,2,42,600.0
pyramid urban homes 2,0.5,9615.0,2.0,2.0,1,not avilable,10.0,,Relatively New,sector 86,520.021,flat,,,520.0,0,0,0,0,0,2,15,260.0
m3m heights,2.8,15000.0,3.0,3.0,3,not avilable,20.0,North-East,Undefined,sector 65,1866.667,flat,1828.0,,,0,0,0,0,0,2,91,622.0
godrej nature plus,1.45,15664.0,3.0,2.0,3+,study room,20.0,,Under Construction,sector 33,925.689,flat,,,86.0,1,0,0,0,0,2,144,309.0
smart world orchard,2.2,13496.0,3.0,3.0,2,not avilable,3.0,,Undefined,sector 61,1630.113,flat,,,1630.0,0,0,0,0,0,2,16,543.0
ashiana anmol,0.9,9463.0,2.0,2.0,2,not avilable,13.0,South,Relatively New,sohna road,951.073,flat,1275.0,,951.0,0,0,0,0,0,1,120,476.0
signature signum 95a,0.4,7782.0,2.0,2.0,2,not avilable,3.0,East,New Property,sector 95,514.007,flat,,,514.0,0,0,0,0,0,0,44,257.0
umang winter hills,1.35,7780.0,3.0,3.0,3+,store room,7.0,,New Property,sector 77,1735.219,flat,1735.0,,1199.0,0,0,1,0,0,0,96,578.0
aardhya homesh,1.85,8043.0,4.0,4.0,0,not avilable,4.0,East,Undefined,sector 67a,2300.137,flat,,,2300.0,0,0,0,0,0,2,0,575.0
rof ananda,0.25,6578.0,1.0,1.0,1,not avilable,4.0,,New Property,sector 95,380.055,flat,380.0,,,0,0,0,0,0,2,0,380.0
smart world gems,0.88,7963.0,2.0,2.0,3,study room,2.0,,New Property,sector 89,1105.111,flat,,,1105.0,1,0,0,0,0,2,44,553.0
assotech blith,1.15,6593.0,2.0,2.0,2,others,2.0,,New Property,sector 99,1744.274,flat,1365.0,,,0,0,0,0,1,0,72,872.0
essel tower,1.6,12185.0,3.0,3.0,3,not avilable,4.0,,Moderately Old,iffco chowk,1313.09,flat,1313.0,,,0,0,0,0,0,2,46,438.0
