price,bedRoom,bathroom,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_type,agePossession,sector,type,luxury,balcony
0.22,2.0,2.0,33.0,0,0,0,0,0,2,3.0,2.0,174.0,1.0,0.0,1.0
6.95,3.0,3.0,1720.0,0,1,0,0,0,2,3.0,0.0,127.0,1.0,3.0,0.0
1.7,3.0,3.0,1396.0,0,0,0,0,0,2,2.0,3.0,72.0,0.0,2.0,3.0
2.7,3.0,3.0,1614.4,0,0,1,0,0,2,2.0,1.0,156.0,0.0,2.0,3.0
1.13,3.0,5.0,1500.0,0,1,0,0,1,2,1.0,3.0,181.0,0.0,1.0,3.0
1.6,3.0,3.0,1600.0,0,0,0,0,1,0,2.0,2.0,124.0,0.0,3.0,3.0
0.6,3.0,3.0,451.92,0,0,0,0,0,2,3.0,0.0,68.0,1.0,0.0,2.0
1.88,3.0,3.0,1450.0,0,0,0,0,1,0,2.0,0.0,127.0,0.0,3.0,4.0
2.6,4.0,4.0,1340.0,0,0,0,0,1,2,3.0,3.0,166.0,0.0,1.0,4.0
1.5,3.0,3.0,2388.72,0,0,0,0,0,2,3.0,1.0,142.0,1.0,0.0,1.0
0.9,3.0,3.0,1460.0,0,0,0,0,0,2,2.0,3.0,168.0,0.0,2.0,3.0
0.39,1.0,1.0,450.0,0,0,0,0,0,2,1.0,3.0,69.0,0.0,3.0,0.0
4.94,3.0,4.0,2434.4,0,1,0,0,0,2,2.0,0.0,144.0,0.0,3.0,3.0
2.99,3.0,3.0,1500.0,0,1,0,0,0,0,1.0,3.0,145.0,0.0,1.0,3.0
9.0,4.0,4.0,4235.0,0,1,1,1,0,0,3.0,3.0,145.0,1.0,3.0,4.0
1.25,3.0,3.0,1400.0,1,0,0,0,0,2,3.0,3.0,110.0,0.0,1.0,3.0
1.15,3.0,4.0,2090.909,0,1,0,0,1,2,3.0,2.0,79.0,0.0,0.0,1.0
0.75,2.0,2.0,1429.933,0,0,0,0,0,2,2.0,3.0,110.0,0.0,1.0,4.0
4.35,4.0,4.0,5478.0,0,1,1,0,0,2,3.0,3.0,164.0,1.0,1.0,3.0
0.8,1.0,1.0,720.007,0,0,0,0,0,2,0.0,0.0,125.0,0.0,0.0,0.0
1.6,2.0,2.0,1124.8,0,0,0,0,0,2,2.0,1.0,156.0,0.0,0.0,1.0
1.18,2.0,2.0,1000.0,0,0,0,1,0,2,1.0,1.0,152.0,0.0,3.0,3.0
